"","target","BlkType","response","rt","sub","error"
"318","Absent","1:3",1,0.502293255503901,"aleg",FALSE
"319","Absent","1:3",1,0.55547660164666,"aleg",FALSE
"320","Absent","1:3",1,0.462079630759035,"aleg",FALSE
"321","Absent","1:3",1,0.749595748715365,"aleg",FALSE
"322","Absent","1:3",1,0.424294897036816,"aleg",FALSE
"323","Absent","1:3",1,0.411024274675583,"aleg",FALSE
"324","Absent","1:3",1,0.413395322249926,"aleg",FALSE
"325","Absent","1:3",1,0.426691022514206,"aleg",FALSE
"326","Absent","1:3",1,0.344055865250994,"aleg",FALSE
"327","Absent","1:3",1,0.368053768848768,"aleg",FALSE
"328","Absent","1:3",1,0.357518314189292,"aleg",FALSE
"329","Present","1:3",1,0.280233786808822,"aleg",TRUE
"330","Absent","1:3",1,0.517495643038274,"aleg",FALSE
"331","Present","1:3",3,0.450550168749032,"aleg",FALSE
"332","Absent","1:3",1,0.357047634603077,"aleg",FALSE
"333","Absent","1:3",1,0.426449367194436,"aleg",FALSE
"334","Present","1:3",3,0.418609149575786,"aleg",FALSE
"335","Absent","1:3",1,0.3996409569354,"aleg",FALSE
"336","Present","1:3",3,0.533132655278678,"aleg",FALSE
"337","Present","1:3",3,0.477126336827496,"aleg",FALSE
"338","Absent","1:3",1,0.562354957186471,"aleg",FALSE
"339","Absent","1:3",1,0.434424594210213,"aleg",FALSE
"340","Absent","1:3",1,0.378253230022892,"aleg",FALSE
"341","Absent","1:3",1,0.668738667556681,"aleg",FALSE
"342","Absent","1:3",1,0.636794163568993,"aleg",FALSE
"343","Absent","1:3",1,0.37556666931232,"aleg",FALSE
"344","Absent","1:3",1,0.311224142682477,"aleg",FALSE
"345","Present","1:3",3,0.46851756860633,"aleg",FALSE
"346","Present","1:3",3,0.612407430349776,"aleg",FALSE
"347","Absent","1:3",1,0.684628887265717,"aleg",FALSE
"348","Absent","1:3",1,0.340472131490969,"aleg",FALSE
"349","Absent","1:3",1,0.340323844451632,"aleg",FALSE
"350","Absent","1:3",1,0.412446241594807,"aleg",FALSE
"351","Present","1:3",3,0.551226519777629,"aleg",FALSE
"352","Absent","1:3",1,0.390929655402942,"aleg",FALSE
"353","Absent","1:3",1,0.42575280982237,"aleg",FALSE
"354","Present","1:3",3,0.481608837559179,"aleg",FALSE
"355","Absent","1:3",1,0.465545286746419,"aleg",FALSE
"356","Present","1:3",3,0.747940708824899,"aleg",FALSE
"357","Absent","1:3",1,0.497474765046718,"aleg",FALSE
"358","Absent","1:3",1,0.358470921013577,"aleg",FALSE
"359","Present","1:3",3,0.558596896118615,"aleg",FALSE
"360","Absent","1:3",1,0.49444483897787,"aleg",FALSE
"361","Present","1:3",3,0.510388195563792,"aleg",FALSE
"362","Absent","1:3",1,0.608945744121229,"aleg",FALSE
"363","Absent","1:3",1,0.36909821394147,"aleg",FALSE
"364","Present","1:3",3,0.475556026482082,"aleg",FALSE
"365","Absent","1:3",1,0.358218728541033,"aleg",FALSE
"366","Absent","1:3",1,0.510191177478191,"aleg",FALSE
"367","Absent","1:3",1,0.456749748131188,"aleg",FALSE
"368","Absent","1:3",1,0.568677847208164,"aleg",FALSE
"369","Present","1:3",3,0.437852740486051,"aleg",FALSE
"370","Absent","1:3",1,0.302010565139426,"aleg",FALSE
"371","Absent","1:3",1,0.376383514891131,"aleg",FALSE
"372","Present","1:3",3,0.557898865126845,"aleg",FALSE
"373","Absent","1:3",1,0.437575838519479,"aleg",FALSE
"374","Absent","1:3",1,0.40039923353288,"aleg",FALSE
"375","Absent","1:3",1,0.456457061109177,"aleg",FALSE
"376","Absent","1:3",1,0.461459709285919,"aleg",FALSE
"377","Absent","1:3",1,0.338819005053665,"aleg",FALSE
"378","Present","1:3",1,0.298832043774382,"aleg",TRUE
"379","Present","1:3",3,0.466683934671892,"aleg",FALSE
"380","Absent","1:3",1,0.362850798212094,"aleg",FALSE
"381","Absent","1:3",1,0.39223551438954,"aleg",FALSE
"382","Absent","1:3",1,0.488107780376595,"aleg",FALSE
"383","Absent","1:3",1,0.450844716593565,"aleg",FALSE
"384","Absent","1:3",1,0.402804587944047,"aleg",FALSE
"385","Present","1:3",3,0.448142487364748,"aleg",FALSE
"386","Present","1:3",3,0.413411028361224,"aleg",FALSE
"387","Absent","1:3",1,0.447832940144508,"aleg",FALSE
"388","Absent","1:3",1,0.420894234575826,"aleg",FALSE
"389","Absent","1:3",1,0.629003338624898,"aleg",FALSE
"390","Present","1:3",3,0.455651951882828,"aleg",FALSE
"391","Absent","1:3",1,0.55428854976708,"aleg",FALSE
"392","Absent","1:3",1,0.495596963786738,"aleg",FALSE
"393","Absent","1:3",1,0.404978861784912,"aleg",FALSE
"394","Absent","1:3",1,0.500810636982351,"aleg",FALSE
"395","Absent","1:3",1,0.546035593750275,"aleg",FALSE
"396","Present","1:3",3,0.532759637024355,"aleg",FALSE
"397","Absent","1:3",1,0.689918455787847,"aleg",FALSE
"398","Absent","1:3",1,0.490033602187395,"aleg",FALSE
"399","Absent","1:3",1,0.506078123720727,"aleg",FALSE
"400","Present","1:3",3,0.562013986467718,"aleg",FALSE
"401","Present","1:1",3,0.96592631009662,"aleg",FALSE
"402","Present","1:1",3,0.392562820266903,"aleg",FALSE
"403","Absent","1:1",1,0.456560342508965,"aleg",FALSE
"404","Absent","1:1",1,0.331157452905245,"aleg",FALSE
"405","Present","1:1",3,0.461730374670879,"aleg",FALSE
"406","Present","1:1",3,0.475059201369731,"aleg",FALSE
"407","Present","1:1",3,0.424443657742813,"aleg",FALSE
"408","Present","1:1",3,0.357490819096711,"aleg",FALSE
"409","Present","1:1",3,0.400315218244941,"aleg",FALSE
"410","Present","1:1",3,0.469545082076365,"aleg",FALSE
"411","Present","1:1",3,0.368291048409446,"aleg",FALSE
"412","Absent","1:1",1,0.496161680797741,"aleg",FALSE
"413","Absent","1:1",1,0.474784073765477,"aleg",FALSE
"414","Absent","1:1",1,0.399962394638351,"aleg",FALSE
"415","Absent","1:1",1,0.413281060105874,"aleg",FALSE
"416","Present","1:1",3,0.461146951673072,"aleg",FALSE
"417","Present","1:1",3,0.389175217409502,"aleg",FALSE
"418","Absent","1:1",1,0.471891457749734,"aleg",FALSE
"419","Present","1:1",3,0.514503365773635,"aleg",FALSE
"420","Present","1:1",3,0.429122627710967,"aleg",FALSE
"421","Absent","1:1",1,0.527628388956145,"aleg",FALSE
"422","Present","1:1",3,0.4397820433569,"aleg",FALSE
"423","Absent","1:1",1,0.492704152291481,"aleg",FALSE
"424","Present","1:1",3,0.602083256339029,"aleg",FALSE
"425","Absent","1:1",1,0.623325917882539,"aleg",FALSE
"426","Present","1:1",3,0.599352174929663,"aleg",FALSE
"427","Absent","1:1",1,0.506016145107424,"aleg",FALSE
